company_name,RAM,ROM,height_in,battery_power,front_camera,back_camera,price_eur
SAMSUNG,8,128,6.7,5000,32,130,461
realme,8,128,6.44,4200,40,86,461
SAMSUNG,8,128,6.7,5000,32,130,461
SAMSUNG,8,128,6.7,5000,32,130,461
realme,8,128,6.44,4200,40,86,461
realme,8,128,6.44,4200,40,86,461
SAMSUNG,8,128,6.7,5000,32,130,461
OnePlus,12,256,7.02,4500,50,50,461
SAMSUNG,8,256,6.7,5000,32,130,456
SAMSUNG,8,256,6.4,5000,32,67,450
ASUS,8,128,6.59,6000,24,61,450
SAMSUNG,8,256,6.4,5000,32,67,450
SAMSUNG,8,256,6.4,5000,32,67,450
SAMSUNG,8,128,6.5,4500,64,64,450
SAMSUNG,8,128,6.5,4500,64,64,450
OnePlus,12,256,7.02,4500,48,48,450
SAMSUNG,8,128,6.4,5000,32,67,442
vivo,8,256,7.18,4600,50,60,439
vivo,8,256,7.18,4600,50,60,439
ASUS,8,128,7.18,6000,24,82,439
SAMSUNG,8,128,6.4,4500,32,32,439
SAMSUNG,8,128,6.4,4500,32,32,439
SAMSUNG,8,128,6.4,4500,32,32,439
SAMSUNG,8,128,6.4,4500,32,32,439
Lenovo,8,128,6.39,4000,32,74,439
OnePlus,12,256,6.7,5000,50,50,438
OnePlus,8,128,6.7,5000,50,50,435
OnePlus,8,128,6.7,5000,50,50,434
OnePlus,8,128,6.7,5000,50,50,430
vivo,12,256,7.18,4600,50,60,428
realme,8,256,6.7,5000,16,60,428
SAMSUNG,6,128,6.5,4500,64,64,428
realme,8,256,6.7,5000,16,60,428
realme,8,256,6.7,5000,16,60,428
realme,12,256,7.02,5000,16,60,428
vivo,8,128,6.56,4300,58,118,428
SAMSUNG,8,128,6.5,4500,34,86,417
vivo,8,128,7.18,4600,50,60,417
vivo,8,128,7.18,4600,50,60,417
SAMSUNG,6,128,6.5,4500,32,86,417
MOTOROLA,8,128,6.55,4400,32,70,417
SAMSUNG,8,128,6.5,4500,32,86,417
MOTOROLA,8,128,6.55,4400,32,70,417
realme,8,128,6.43,4500,16,74,417
realme,8,128,6.43,4500,16,74,417
SAMSUNG,8,128,6.5,4500,32,86,417
